target,text,stance,cut,length
开放二胎,刚回家几天就迫不及待的赶到了小舅家，看着乖巧懂事的表妹和可爱的小表弟，心情格外舒畅！这个画面不禁让我想到刚过去没多长时间的十八届五中全会，国家开放二胎政策，大家都有自己的想法。不过看着他们的笑脸，我心里默默肯定了这项政策。,0,刚 回家 几天 迫不及待 赶到 小舅 家 看着 乖巧 懂事 表妹 可爱 小表弟 心情 格外 舒畅 画面 不禁 想到 刚过去 没 多长时间 十八 届 五中全会 国家 开放 二胎 政策 想法 看着 笑脸 心里 默默 肯定 这项 政策 ,115
俄罗斯在叙利亚的反恐行动,俄罗斯就是流氓,1,俄罗斯 流氓 ,7
春节放鞭炮,#春节放鞭炮#【中央气象台首次发布烟花爆竹燃放气象指数】明天就是除夕了，年味越发浓郁。今早，中央气象台发布了国家级烟花爆竹燃放气象指数预报。预计1月29日白天到夜间，河北中南部、河南南部、湖北中东部、湖南西北部、四川盆地中南部等地的部分地区气象条件不适宜燃放烟花爆竹，请尽量不要燃放。,1,春节 放鞭炮 中央气象台 首次 发布 烟花爆竹 燃放 气象 指数 明天 除夕 年 味 越发 浓郁 今早 中央气象台 发布 国家级 烟花爆竹 燃放 气象 指数 预报 预计 月 日 白天 夜间 河北 中南部 河南 南部 湖北 中东部 湖南 西北部 四川盆地 中南部 部分 地区 气象条件 适宜 燃放烟花 爆竹 请 尽量 不要 燃放 ,164
IphoneSE,iPhoneSE貌似摄像头不外突了，普天同庆,0,iPhoneSE 貌似 摄像头 外突 普天同庆 ,24
春节放鞭炮,千万人口级城市北京，原住民在庆祝第一大节日春节，大家伙都心照不宣的想到：别再给伤痕累累的家乡环境增加负担了。所以自觉少放或不放鞭炮烟花，而原博说的十万人口级的小县城，人为制造了一场雾霾天气。也好，这样充分说明了，贱射者是环境污染、社会秩序恶化的发生源，说它们是祸害是毒瘤绝对正确！,1,千万 人口 级 城市 北京 原住民 庆祝 第一 节日 春节 大家伙 心照不宣 想到 伤痕累累 家乡 环境 增加 负担 自觉 少放 放鞭炮 烟花 原博说 十万 人口 级 县城 人为 制造 一场 雾 霾 天气 充分说明 贱射者 环境污染 社会秩序 恶化 发生源 说 祸害 毒瘤 绝对 正确 ,143
IphoneSE,第一次注意到，这iphone se唤醒屏幕后听筒左边的黑点成了幽幽红点，之前的iphone5怎么没注意到过？在周围环境很暗，屏幕亮度调低后会比较明显。我感觉被人监视了,1,第一次 注意 iphonese 唤醒 屏幕 听筒 左边 黑点 成 幽幽 红 点 之前 iphone 没 注意 周围环境 暗 屏幕 亮度 调低 会 比较 明显 感觉 监视 ,85
春节放鞭炮,#新浪博客让红包飞# 分享自艾君AIJUN 《艾君：春节放鞭炮是否已成陋习，摒弃还是守护？》 -  民间习俗的形成脱离不开一定时期人们的劳动生活需求和社会发展质量的要求，所以，一种民间习俗形成和发展是也是具有一定时代性的... (来自 @头条博客) - |艾君：春节...,1,新浪 博客 红包 飞 分享 自艾 君 AIJUN 艾君 春节 放鞭炮 是否 已成 陋习 摒弃 守护 民间 习俗 形成 脱 离不开 一定 时期 劳动 生活 需求 社会 发展 质量 要求 一种 民间 习俗 形成 发展 具有 一定 时代性 头条 博客 艾君 春节 ,129
俄罗斯在叙利亚的反恐行动,俄罗斯是世界上最大的恐怖分子,1,俄罗斯 世界 最大 恐怖分子 ,15
深圳禁摩限电,#深圳禁摩限电#我都怕以后连自行车都禁了...... 我真的想问下，摩托车电动车有那么难管理吗？,1,深圳 禁摩 限电 怕 以后 自行车 禁 真的 想 问下 摩托车 电动车 难 管理 ,41
开放二胎,#姚晨怀二胎#恭喜，挑对了时间，又省了罚款。,0,姚晨怀 二胎 恭喜 挑对 时间 省 罚款 ,21
